#separator:tab
#html:true
#columns:AudioRef	Question	Answer	Transcript	Tags
[sound:e40b07186fce.mp3]	Which preposition comes after 'good' in the audio?	good at	Most children are naturally good at picking up new languages quickly.	module:06 type:listening sense:dependent frequency:high register:neutral cefr:a2 image-schema:none generalisable:no dependent:adjective
[sound:04d6da889cf6.mp3]	What preposition completes the adjective you heard?	different from	This year's design is quite different from anything we've done before.	module:06 type:listening sense:dependent frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:adjective
[sound:1b5971ff89eb.mp3]	Which word follows 'responsible' in the sentence?	responsible for	The project manager is responsible for meeting all the deadlines.	module:06 type:listening sense:dependent frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:adjective
[sound:50134fdf51f4.mp3]	What preposition comes after 'proud' in the phrase you heard?	proud of	We are all very proud of the company's achievements this year.	module:06 type:listening sense:dependent frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:adjective
[sound:453872f71356.mp3]	Which preposition follows the adjective in the collocation you heard?	jealous of	He seemed jealous of the attention his colleague was receiving.	module:06 type:listening sense:dependent frequency:mid register:neutral cefr:b1 image-schema:none generalisable:no dependent:adjective
[sound:664ce26fdeae.mp3]	What word completes the adjective-phrase you heard?	similar to	The symptoms are quite similar to those of a common cold.	module:06 type:listening sense:dependent frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:adjective
[sound:f13262f53e1f.mp3]	Which preposition comes after 'capable' in the audio?	capable of	She is capable of achieving remarkable things when given the opportunity.	module:06 type:listening sense:dependent frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:adjective
[sound:194e10f8b274.mp3]	What preposition follows the noun you heard?	reason for	The main reason for the delay was unexpected traffic.	module:07 type:listening sense:dependent frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:noun
[sound:87df837c5458.mp3]	Which word completes the noun-phrase in the sentence?	cause of	Stress is often the cause of many health problems.	module:07 type:listening sense:dependent frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:noun
[sound:01c31c13173d.mp3]	What preposition comes after the noun in the audio?	solution to	They found an innovative solution to the water shortage problem.	module:07 type:listening sense:dependent frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:noun
[sound:ea1d50f8de76.mp3]	Which preposition follows the noun you heard?	increase in	There's been a significant increase in online shopping in recent years.	module:07 type:listening sense:dependent frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:noun
[sound:6ab01d47c6f1.mp3]	What word completes the noun-phrase you heard?	attitude towards	Their attitude towards environmental protection has changed dramatically.	module:07 type:listening sense:dependent frequency:high register:formal cefr:b2 image-schema:none generalisable:no dependent:noun
